classification,match_kind,oem_name,recovered_names,oem_instructions,recovered_instructions,instruction_ratio,instruction_delta,oem_bytes,recovered_bytes,oem_branches,recovered_branches,oem_calls,recovered_calls,oem_returns,recovered_returns,oem_relocations,recovered_relocations,missing_replacement_targets
expanded,exact_name,apical_isp_day_or_night_s_ctrl_internal,apical_isp_day_or_night_s_ctrl_internal,1759,4723,2.685048,2964,7036,18892,18,18,228,231,1,1,28,504,
expanded,exact_name,awb_calc_avg_weighted_gr_gb_mesh,awb_calc_avg_weighted_gr_gb_mesh,1353,3207,2.370288,1854,5412,12828,140,138,104,99,1,1,90,246,
expanded,exact_name,apical_command,apical_command,1300,3119,2.399231,1819,5200,12476,152,409,1,131,1,1,274,262,
expanded,replacement,isp_core_ops_ioctl,"isp_core_frame_channel_crop_capture,isp_core_frame_channel_enum_fmt,isp_core_frame_channel_queue_buffer,isp_core_frame_channel_scaler_capture,isp_core_frame_channel_set_crop,isp_core_frame_channel_set_fmt,isp_core_frame_channel_set_scaler,isp_core_frame_channel_streamoff,isp_core_frame_channel_streamon,isp_core_frame_channel_try_fmt,isp_core_ops_ioctl,isp_core_ops_private_ioctl,isp_core_set_clk",930,2458,2.643011,1528,3720,9844,128,181,64,85,1,13,109,196,
expanded,exact_name,isp_info_show,isp_info_show,791,1762,2.227560,971,3164,7048,10,24,142,142,1,1,186,476,
expanded,exact_name,apical_custom_initialization,apical_custom_initialization,592,1533,2.589527,941,2368,6132,9,9,125,128,1,1,66,362,
expanded,exact_name,isp_core_interrupt_service_routine,isp_core_interrupt_service_routine,512,1225,2.392578,713,2048,4900,54,108,47,48,1,1,46,152,
expanded,exact_name,matrix_yuv_coefft_write_to_hardware,matrix_yuv_coefft_write_to_hardware,466,1215,2.607296,749,1864,4860,16,12,119,132,0,1,8,264,
expanded,replacement,video_in_core_ops_ioctl,"subdev_core_ops_enum_input,subdev_core_ops_get_input,subdev_core_ops_register_sensor,subdev_core_ops_release_all_sensor,subdev_core_ops_release_sensor,subdev_core_ops_set_input,subdev_core_ops_streamoff,subdev_core_ops_streamon,video_in_core_ops_ioctl",423,1868,4.416076,1445,1692,7480,73,178,22,68,1,10,64,188,
expanded,exact_name,sharpening_update,sharpening_update,404,846,2.094059,442,1616,3384,35,54,35,36,0,1,34,74,
expanded,exact_name,cmos_fsm_process_interrupt,cmos_fsm_process_interrupt,366,769,2.101093,403,1464,3076,20,49,41,43,1,1,40,124,
expanded,exact_name,sensor_load_binary_sequence,sensor_load_binary_sequence,304,644,2.118421,340,1216,2576,34,34,8,10,1,1,15,20,
expanded,exact_name,ae_calculate_target,ae_calculate_target,297,634,2.134680,337,1188,2536,19,12,18,11,1,1,24,32,
expanded,exact_name,apical_isp_init,apical_isp_init,281,568,2.021352,287,1124,2272,1,1,42,63,0,1,86,166,
expanded,exact_name,scene_mode,scene_mode,257,564,2.194553,307,1028,2256,20,64,21,14,2,1,21,68,
expanded,exact_name,apical_cmd_process,apical_cmd_process,255,653,2.560784,398,1020,2612,17,41,31,58,1,1,80,116,
expanded,replacement,isp_core_frame_channel_streamoff.isra.0,isp_core_frame_channel_streamoff,232,540,2.327586,308,928,2160,26,36,16,20,1,1,23,40,
expanded,exact_name,subdev_core_ops_set_input,subdev_core_ops_set_input,209,549,2.626794,340,836,2196,41,58,12,22,1,1,21,58,
expanded,exact_name,cmos_inttime_update,cmos_inttime_update,204,471,2.308824,267,816,1884,20,48,11,13,0,1,29,42,
expanded,exact_name,tx_isp_frame_channel_device_register,tx_isp_frame_channel_device_register,193,416,2.155440,223,772,1688,15,20,14,14,1,1,59,60,
expanded,exact_name,color_matrix_write,color_matrix_write,188,456,2.425532,268,752,1824,3,2,45,46,0,1,5,92,
expanded,exact_name,apical_isp_process_events,apical_isp_process_events,177,486,2.745763,309,708,1944,6,44,17,32,1,1,35,128,
expanded,exact_name,register_tx_isp_csi_device,register_tx_isp_csi_device,174,358,2.057471,184,696,1432,13,20,17,20,1,1,63,68,
expanded,exact_name,frame_channel_vidioc_default,frame_channel_vidioc_default,165,349,2.115152,184,660,1396,30,39,8,8,1,1,16,16,
